tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch
27,Euterpe oleracea,Arecaceae,799298.8907,9725916.713,10.7,False,P,1,11.15
28,Xylopia amazonica,Annonaceae,799295.7866,9725917.078,12.2,False,O,1,12.25
29,Hevea brasiliensis,Euphorbiaceae,799295.7698,9725917.177,21.0,False,O,1,17.72
30,Xylopia amazonica,Annonaceae,799294.8106,9725916.871,13.4,False,O,1,13.08
31,Xylopia amazonica,Annonaceae,799294.713,9725916.85,26.5,False,O,1,20.53
32,Strychnos subcordata,Loganiaceae,799294.6154,9725916.829,14.0,False,O,1,13.49
33,Xylopia nitida,Annonaceae,799292.5399,9725918.432,20.4,False,O,1,17.39
34,Xylopia nitida,Annonaceae,799293.4293,9725919.134,23.1,False,O,1,18.84
35,Guatteria schomburgkiana,Annonaceae,799293.5866,9725921.214,11.8,False,O,1,11.96
36,Vismia guianensis,Hypericaceae,799288.157,9725939.771,10.8,False,O,1,11.23
37,Euterpe oleracea,Arecaceae,799289.9755,9725940.183,11.0,False,P,1,11.38
38,Vismia guianensis,Hypericaceae,799290.4295,9725937.416,12.0,False,O,1,12.11
39,Xylopia amazonica,Annonaceae,799305.621,9725938.245,18.8,False,O,1,16.48
40,Cordia goeldiana,Boraginaceae,799307.7244,9725937.473,18.8,False,O,1,16.48
41,Inga alba,Fabaceae,799306.7969,9725937.267,11.2,False,O,1,11.53
42,Zanthoxylum rhoifolium,Rutaceae,799306.1799,9725935.58,15.8,False,O,1,14.66
43,Strychnos subcordata,Loganiaceae,799307.9088,9725932.035,16.0,False,O,1,14.79
44,Guatteria schomburgkiana,Annonaceae,799307.9717,9725931.739,11.6,False,O,1,11.82
45,Xylopia amazonica,Annonaceae,799308.1604,9725931.781,12.3,False,O,1,12.32
46,Xylopia nitida,Annonaceae,799306.0649,9725931.425,17.8,False,O,1,15.89
47,,,799306.0853,9725931.326,21.0,True,O,1,17.72
48,Xylopia amazonica,Annonaceae,799307.2769,9725930.348,26.1,False,O,1,20.34
49,Guatteria schomburgkiana,Annonaceae,799306.9064,9725929.751,22.1,False,O,1,18.31
50,Guatteria schomburgkiana,Annonaceae,799306.4914,9725924.505,22.1,False,O,1,18.31
51,Xylopia amazonica,Annonaceae,799304.3717,9725925.078,24.9,False,O,1,19.75
52,Hevea brasiliensis,Euphorbiaceae,799305.8274,9725922.816,19.9,False,O,1,17.11
53,Xylopia amazonica,Annonaceae,799310.0067,9725922.165,13.5,False,O,1,13.15
54,Nectandra cuspidata,Lauraceae,799311.5299,9725919.806,19.4,False,O,1,16.83
55,Tapirira guianensis,Anacardiaceae,799311.87,9725918.227,10.5,False,O,1,11.0
56,Xylopia amazonica,Annonaceae,799312.1889,9725916.747,22.8,False,O,1,18.68
57,Xylopia amazonica,Annonaceae,799311.4543,9725915.354,17.5,False,O,1,15.71
58,Xylopia amazonica,Annonaceae,799308.5859,9725914.237,18.3,False,O,1,16.19
59,Tapirira guianensis,Anacardiaceae,799312.1676,9725911.998,17.5,False,O,1,15.71
60,Vismia guianensis,Hypericaceae,799309.4116,9725910.19,10.2,False,O,1,10.78
61,Tapirira guianensis,Anacardiaceae,799307.4651,9725909.477,12.2,False,O,1,12.25
62,Xylopia nitida,Annonaceae,799308.7572,9725902.96,13.9,False,O,1,13.42
63,Vismia guianensis,Hypericaceae,799310.206,9725895.654,15.5,False,O,1,14.47
64,Hevea brasiliensis,Euphorbiaceae,799310.2256,9725895.555,27.0,False,O,1,20.76
65,Inga alba,Fabaceae,799309.2212,9725895.148,25.4,False,O,1,20.0
1,Jacaranda copaia,Bignoniaceae,799326.2269,9725897.213,12.7,False,O,1,12.6
2,Vismia latifolia,Hypericaceae,799328.1509,9725898.322,21.2,False,O,1,17.83
3,Vismia latifolia,Hypericaceae,799330.7576,9725901.02,16.1,False,O,1,14.85
4,Jacaranda copaia,Bignoniaceae,799329.0708,9725903.375,15.0,False,O,1,14.15
5,Tapirira guianensis,Anacardiaceae,799324.8238,9725903.032,17.4,False,O,1,15.65
6,,,799325.1805,9725901.553,10.7,False,O,1,11.15
7,Hevea brasiliensis,Euphorbiaceae,799318.1548,9725899.103,30.3,False,O,1,22.26
8,,,799315.7545,9725909.958,26.4,False,O,1,20.48
9,Xylopia nitida,Annonaceae,799313.3045,9725916.362,27.2,False,O,1,20.86
10,Euterpe oleracea,Arecaceae,799312.8873,9725919.681,11.0,False,P,1,11.38
11,Xylopia nitida,Annonaceae,799314.5513,9725920.034,10.3,False,O,1,10.85
12,Hevea brasiliensis,Euphorbiaceae,799314.1093,9725922.008,28.1,False,O,1,21.28
13,Zanthoxylum rhoifolium,Rutaceae,799313.6942,9725922.953,13.4,False,O,1,13.08
14,Xylopia nitida,Annonaceae,799312.2386,9725922.642,13.8,False,O,1,13.36
15,Xylopia nitida,Annonaceae,799314.411,9725925.175,12.7,False,O,1,12.6
